Category: All categories

Region,air purifier: (4/1/22 - 4/30/25)
Delhi,100
Haryana,81
Punjab,38
Karnataka,35
Maharashtra,35
Tamil Nadu,33
Uttar Pradesh,33
Jammu and Kashmir,31
Telangana,31
Andhra Pradesh,29
Gujarat,28
West Bengal,27
Kerala,27
Odisha,27
Chhattisgarh,22
Rajasthan,19
Assam,16
Bihar,15
Madhya Pradesh,11
Lakshadweep,
Meghalaya,
Manipur,
Jharkhand,
Mizoram,
Nagaland,
Himachal Pradesh,
Goa,
Puducherry,
Dadra and Nagar Haveli,
Sikkim,
Daman and Diu,
Chandigarh,
Tripura,
Arunachal Pradesh,
Uttarakhand,
Andaman and Nicobar Islands,
